Label,wrist,thumb cmc,thumb mcp,thumb ip,thumb tip,index finger mcp,index finger pip,index finger dip,index finger tip,middle finger mcp,middle finger pip,middle finger dip,middle finger tip,ring finger mcp,ring finger pip,ring finger dip,ring finger tip,pinky mcp,pinky pip,pinky dip,pinky tip
0,"[0.4464324116706848, 0.7968522906303406, -3.2230880719907873e-07]","[0.37721869349479675, 0.8094354271888733, -0.0869915783405304]","[0.36726105213165283, 0.8225514888763428, -0.14541298151016235]","[0.43858981132507324, 0.8522692322731018, -0.18339768052101135]","[0.5002359747886658, 0.8679346442222595, -0.2126358151435852]","[0.41341084241867065, 0.7506201267242432, -0.16868698596954346]","[0.467424601316452, 0.8162938356399536, -0.2182890772819519]","[0.5017756819725037, 0.8607380986213684, -0.24502025544643402]","[0.5249741673469543, 0.8889702558517456, -0.26323187351226807]","[0.4905552268028259, 0.7439622282981873, -0.14196549355983734]","[0.49778878688812256, 0.8262965679168701, -0.1885787546634674]","[0.49088630080223083, 0.8653303980827332, -0.1926235407590866]","[0.4835050106048584, 0.8847743272781372, -0.19539283215999603]","[0.5394651293754578, 0.7516038417816162, -0.1153751090168953]","[0.5364717245101929, 0.824783980846405, -0.14060138165950775]","[0.5188281536102295, 0.8422753214836121, -0.11658424884080887]","[0.5023099184036255, 0.844720721244812, -0.10169793665409088]","[0.5629481077194214, 0.7645361423492432, -0.09812745451927185]","[0.5475688576698303, 0.8177328705787659, -0.1220734715461731]","[0.5243706107139587, 0.8266791105270386, -0.11301759630441666]","[0.5059652328491211, 0.819953203201294, -0.10220454633235931]"
0,"[0.6125059723854065, 0.7223274111747742, 1.17808490074367e-07]","[0.6121825575828552, 0.6729120016098022, -0.03234579786658287]","[0.6368265151977539, 0.628990888595581, -0.03719800338149071]","[0.6975598931312561, 0.603463888168335, -0.04237837716937065]","[0.7515274286270142, 0.5876942873001099, -0.04384039714932442]","[0.6343050599098206, 0.5857236981391907, 0.025083819404244423]","[0.6587012410163879, 0.5429794788360596, 0.008841127157211304]","[0.6817648410797119, 0.5160040259361267, -0.005471271462738514]","[0.7048042416572571, 0.4949796199798584, -0.015374098904430866]","[0.6698163747787476, 0.608211874961853, 0.02874106355011463]","[0.7302407622337341, 0.5945379137992859, -0.01261101569980383]","[0.7159711122512817, 0.6170003414154053, -0.033402904868125916]","[0.6934630870819092, 0.6331651210784912, -0.033307529985904694]","[0.6972725987434387, 0.6331921219825745, 0.025254128500819206]","[0.738099217414856, 0.6295297741889954, -0.02156381867825985]","[0.7128069996833801, 0.6485050320625305, -0.029224257916212082]","[0.6901832222938538, 0.658909261226654, -0.01802733540534973]","[0.7125906944274902, 0.657041609287262, 0.01931680366396904]","[0.7388420104980469, 0.6547483205795288, -0.00890411902219057]","[0.713539719581604, 0.667737603187561, -0.00819817092269659]","[0.6916903257369995, 0.6747568845748901, 0.0018508187495172024]"
0,"[0.22606489062309265, 0.7963743209838867, 4.2002025679721555e-07]","[0.2316211760044098, 0.7645118236541748, -0.0681915208697319]","[0.2850554287433624, 0.7346442937850952, -0.08405612409114838]","[0.3539419174194336, 0.7162602543830872, -0.08231955021619797]","[0.4045791029930115, 0.6984207034111023, -0.07429803907871246]","[0.27849188446998596, 0.6943930983543396, -0.06291212141513824]","[0.3407740890979767, 0.6606299877166748, -0.09345029294490814]","[0.3867778778076172, 0.6395986676216125, -0.11339522153139114]","[0.4261426329612732, 0.6246854662895203, -0.12421009689569473]","[0.3123372793197632, 0.716322660446167, -0.027099084109067917]","[0.3768306374549866, 0.7144774794578552, -0.06405852735042572]","[0.349552184343338, 0.7316471338272095, -0.06957908719778061]","[0.31932535767555237, 0.7412654757499695, -0.06077124923467636]","[0.3396711051464081, 0.74012690782547, 0.0033009503968060017]","[0.39165499806404114, 0.7438234686851501, -0.042231231927871704]","[0.34292837977409363, 0.758175253868103, -0.04571652039885521]","[0.30947116017341614, 0.7595520615577698, -0.032544154673814774]","[0.36116427183151245, 0.7597342133522034, 0.031169867143034935]","[0.39166033267974854, 0.7663697600364685, -0.0025026046205312014]","[0.35057878494262695, 0.7742128372192383, -0.005076374858617783]","[0.32081693410873413, 0.7725495100021362, 0.0036188815720379353]"
0,"[0.3645848333835602, 0.7911595702171326, 3.74022647520178e-07]","[0.3981337547302246, 0.7850586175918579, -0.11421024054288864]","[0.46283578872680664, 0.7719030976295471, -0.13761235773563385]","[0.5416080355644226, 0.7653862237930298, -0.1326065957546234]","[0.6083388328552246, 0.7550267577171326, -0.11456798762083054]","[0.4634498953819275, 0.6862162947654724, -0.08978096395730972]","[0.5578048229217529, 0.6752564311027527, -0.12879393994808197]","[0.6169454455375671, 0.6688494086265564, -0.1497064083814621]","[0.6709245443344116, 0.6625880599021912, -0.16024081408977509]","[0.490730345249176, 0.7079697847366333, -0.037816371768713]","[0.5768201947212219, 0.7409435510635376, -0.0902983695268631]","[0.5311731696128845, 0.7716845870018005, -0.10105562955141068]","[0.49384310841560364, 0.778613269329071, -0.09256525337696075]","[0.5155468583106995, 0.7318335771560669, 0.002671707421541214]","[0.5746415257453918, 0.7617733478546143, -0.060639895498752594]","[0.518750011920929, 0.7855308055877686, -0.06605035066604614]","[0.4904668629169464, 0.7813222408294678, -0.04945177957415581]","[0.5294004678726196, 0.7481234669685364, 0.035807911306619644]","[0.5656510591506958, 0.7729262709617615, -0.009668673388659954]","[0.5266098380088806, 0.7904499769210815, -0.016224225983023643]","[0.49847695231437683, 0.7873324751853943, -0.007623464334756136]"
0,"[0.38953685760498047, 0.7786715626716614, 3.939852319945203e-07]","[0.41454702615737915, 0.7765580415725708, -0.1467406004667282]","[0.4807943105697632, 0.7694563269615173, -0.18445587158203125]","[0.562670111656189, 0.76852947473526, -0.18097364902496338]","[0.6265184879302979, 0.7641932368278503, -0.1612040102481842]","[0.4827791452407837, 0.6813439130783081, -0.15481868386268616]","[0.588519275188446, 0.693811297416687, -0.2144138664007187]","[0.6514557003974915, 0.6992091536521912, -0.24528267979621887]","[0.7133345603942871, 0.6962460279464722, -0.25970491766929626]","[0.5013611912727356, 0.6962835788726807, -0.0831417515873909]","[0.5853589177131653, 0.7388861775398254, -0.15002749860286713]","[0.533297598361969, 0.767654299736023, -0.15775038301944733]","[0.4954846501350403, 0.7674671411514282, -0.1462872326374054]","[0.5242325663566589, 0.7114772200584412, -0.02426372654736042]","[0.5834529995918274, 0.7512993216514587, -0.10031865537166595]","[0.5243446230888367, 0.7751727104187012, -0.10592875629663467]","[0.5030490756034851, 0.7658181190490723, -0.08817927539348602]","[0.5434715151786804, 0.7225907444953918, 0.025894781574606895]","[0.574450671672821, 0.7545276880264282, -0.030724618583917618]","[0.5370233058929443, 0.7720844745635986, -0.044662997126579285]","[0.512952446937561, 0.7666199207305908, -0.04025033861398697]"
0,"[0.34296613931655884, 0.7463786602020264, 2.7423294568507117e-07]","[0.4132717251777649, 0.7591657042503357, -0.09361159056425095]","[0.5115732550621033, 0.7703713178634644, -0.09102095663547516]","[0.5880845189094543, 0.7823019623756409, -0.061491161584854126]","[0.6602069735527039, 0.7849380970001221, -0.019454900175333023]","[0.5872528553009033, 0.7095163464546204, -0.02844461239874363]","[0.6840119361877441, 0.7122870087623596, -0.016340035945177078]","[0.750267744064331, 0.7108927369117737, -0.006805780343711376]","[0.8048932552337646, 0.7106294631958008, 0.001332548912614584]","[0.5630977749824524, 0.7267541289329529, 0.03712902590632439]","[0.6054826974868774, 0.7583709359169006, 0.03699498623609543]","[0.5539228320121765, 0.7604930996894836, 0.03465959429740906]","[0.5142241716384888, 0.749946653842926, 0.044436078518629074]","[0.5418869853019714, 0.7455005049705505, 0.09434526413679123]","[0.5830147862434387, 0.7732201814651489, 0.0842648595571518]","[0.533189594745636, 0.7721537947654724, 0.06262902915477753]","[0.5118787884712219, 0.7629719376564026, 0.059273611754179]","[0.5325679779052734, 0.7593088746070862, 0.14658814668655396]","[0.5545664429664612, 0.7758851051330566, 0.13973882794380188]","[0.5208707451820374, 0.7761766910552979, 0.12249065935611725]","[0.5005607008934021, 0.7694970369338989, 0.11736486852169037]"
0,"[0.7337531447410583, 0.6909725666046143, -6.644628456342616e-07]","[0.6628999710083008, 0.7131975889205933, -0.04645973816514015]","[0.5585264563560486, 0.7169901728630066, -0.07139865309000015]","[0.48912447690963745, 0.7006002068519592, -0.09213323146104813]","[0.4428146481513977, 0.6757069826126099, -0.10592135041952133]","[0.4690680205821991, 0.6645262837409973, -0.05642208456993103]","[0.35809841752052307, 0.6646474003791809, -0.11954765766859055]","[0.28854745626449585, 0.6658922433853149, -0.15780344605445862]","[0.22559520602226257, 0.6615239977836609, -0.183397114276886]","[0.49787864089012146, 0.629325807094574, -0.05339263752102852]","[0.4841706454753876, 0.6581522226333618, -0.11698976904153824]","[0.5570415258407593, 0.6819225549697876, -0.12153809517621994]","[0.5813338756561279, 0.6773985028266907, -0.11528854072093964]","[0.5450133681297302, 0.606162428855896, -0.05898363143205643]","[0.5594341158866882, 0.644852876663208, -0.11326515674591064]","[0.620974600315094, 0.6686705350875854, -0.08874037116765976]","[0.6365627646446228, 0.6587741374969482, -0.06434006243944168]","[0.6024137139320374, 0.5910775065422058, -0.07151461392641068]","[0.6210746169090271, 0.6277933716773987, -0.10875118523836136]","[0.6598643660545349, 0.6525564193725586, -0.09856203198432922]","[0.6708163022994995, 0.6463159322738647, -0.08461061120033264]"
0,"[0.3654134273529053, 0.7093949317932129, 4.153594659328519e-07]","[0.378953218460083, 0.708469569683075, -0.10243473201990128]","[0.4336468577384949, 0.7039192914962769, -0.12733985483646393]","[0.4919363856315613, 0.6988818645477295, -0.12374306470155716]","[0.5361939668655396, 0.686328113079071, -0.11002109199762344]","[0.45647722482681274, 0.6487547755241394, -0.11348792165517807]","[0.5311874747276306, 0.647633969783783, -0.16553236544132233]","[0.5829687118530273, 0.6490979194641113, -0.19411447644233704]","[0.6339196562767029, 0.6499896049499512, -0.2075299471616745]","[0.4686938524246216, 0.6590901613235474, -0.06437070667743683]","[0.5375180840492249, 0.6770922541618347, -0.11858011037111282]","[0.5060880780220032, 0.6979526877403259, -0.12365060299634933]","[0.4845608174800873, 0.703122079372406, -0.11302895098924637]","[0.4833345115184784, 0.6700019836425781, -0.024503853172063828]","[0.5287191867828369, 0.6957400441169739, -0.0813390389084816]","[0.4811386466026306, 0.7110854387283325, -0.08017214387655258]","[0.4629324972629547, 0.7055251598358154, -0.06274464726448059]","[0.49330905079841614, 0.6778207421302795, 0.008369073271751404]","[0.514041006565094, 0.7046176791191101, -0.03591402620077133]","[0.48202601075172424, 0.7147616744041443, -0.04533424973487854]","[0.46450069546699524, 0.7080444097518921, -0.04062242805957794]"
0,"[0.41315335035324097, 0.7672761678695679, -5.558102316172153e-07]","[0.36128515005111694, 0.7559517621994019, -0.043467387557029724]","[0.3102607727050781, 0.7535284161567688, -0.08182740211486816]","[0.29032695293426514, 0.7811399102210999, -0.11510229855775833]","[0.2964239716529846, 0.8089340925216675, -0.1440252959728241]","[0.36048048734664917, 0.6922899484634399, -0.08902402222156525]","[0.304922878742218, 0.7217296361923218, -0.13945583999156952]","[0.26008737087249756, 0.7407261729240417, -0.1700114607810974]","[0.22525736689567566, 0.7546334266662598, -0.18631736934185028]","[0.41711825132369995, 0.704870879650116, -0.08865377306938171]","[0.34515270590782166, 0.7778624296188354, -0.12508851289749146]","[0.3314855694770813, 0.7839387655258179, -0.12631799280643463]","[0.3354834318161011, 0.7749816179275513, -0.12513238191604614]","[0.46004459261894226, 0.7312859296798706, -0.09213483333587646]","[0.3865809142589569, 0.7990801930427551, -0.1173531785607338]","[0.37355533242225647, 0.7956031560897827, -0.09451335668563843]","[0.37764137983322144, 0.7807106375694275, -0.07615594565868378]","[0.48708805441856384, 0.7589216828346252, -0.1025790348649025]","[0.4272690713405609, 0.8101390600204468, -0.13197381794452667]","[0.4120481014251709, 0.8071244359016418, -0.12343436479568481]","[0.41725844144821167, 0.7924244403839111, -0.10882434993982315]"
0,"[0.7309436202049255, 0.6893162727355957, 1.1169504210428727e-09]","[0.6365640163421631, 0.6754865646362305, -0.06397247314453125]","[0.5349546074867249, 0.6544057130813599, -0.06894007325172424]","[0.4619097113609314, 0.6209248900413513, -0.0655345618724823]","[0.3999931812286377, 0.5912641286849976, -0.05384361371397972]","[0.4393168091773987, 0.6539390087127686, 0.008158398792147636]","[0.33422115445137024, 0.636094868183136, -0.014200836420059204]","[0.2747994065284729, 0.6202964782714844, -0.02752162143588066]","[0.22105732560157776, 0.6025179624557495, -0.034907422959804535]","[0.48869895935058594, 0.6312711834907532, 0.03028813749551773]","[0.4507823586463928, 0.5887526273727417, -0.016116177663207054]","[0.5145137906074524, 0.6079322695732117, -0.030686773359775543]","[0.5372738242149353, 0.6225385665893555, -0.021824561059474945]","[0.5448194742202759, 0.6136069297790527, 0.041588425636291504]","[0.530113935470581, 0.5837770104408264, -0.018210405483841896]","[0.5862658023834229, 0.6106500625610352, -0.022386973723769188]","[0.5938356518745422, 0.6253709197044373, -0.0031938233878463507]","[0.5979540944099426, 0.6029608249664307, 0.04878036677837372]","[0.5920681357383728, 0.5815224647521973, 0.010663401335477829]","[0.624936044216156, 0.6031618714332581, 0.012215675786137581]","[0.6268815398216248, 0.6209270358085632, 0.02619665302336216]"
