Label,wrist,thumb cmc,thumb mcp,thumb ip,thumb tip,index finger mcp,index finger pip,index finger dip,index finger tip,middle finger mcp,middle finger pip,middle finger dip,middle finger tip,ring finger mcp,ring finger pip,ring finger dip,ring finger tip,pinky mcp,pinky pip,pinky dip,pinky tip
0,"[0.00901099480688572, 0.03201808035373688, 0.07408187538385391]","[-0.016421159729361534, 0.029993843287229538, 0.05341952666640282]","[-0.02566617727279663, 0.02996881492435932, 0.035210397094488144]","[-0.02499997802078724, 0.03321373090147972, 0.0029903892427682877]","[-0.020895440131425858, 0.03051290102303028, -0.023973699659109116]","[-0.017877481877803802, -0.003472620388492942, 0.005427289754152298]","[-0.0308750681579113, -0.010462621226906776, -0.019898731261491776]","[-0.04683172330260277, -0.005504985339939594, -0.026610758155584335]","[-0.06133405491709709, 0.004939857870340347, -0.03493941202759743]","[-0.00294937239959836, -0.004472823813557625, 0.0005627514910884202]","[-0.010338878259062767, 0.006664033979177475, -0.011565743014216423]","[-0.01670554280281067, 0.019219618290662766, 0.012325736694037914]","[-0.007345418445765972, 0.004926940426230431, 0.04137321561574936]","[0.012288910336792469, 0.0023313488345593214, -0.004481750074774027]","[-0.003835872048512101, 0.02109079621732235, -0.006193732377141714]","[-0.007430064491927624, 0.026298409327864647, 0.017603259533643723]","[0.003293924033641815, 0.02362670749425888, 0.04235035926103592]","[0.0212094746530056, 0.018104644492268562, 0.004338160157203674]","[0.005630635190755129, 0.02877156436443329, 0.002091140253469348]","[-0.002226698212325573, 0.024471169337630272, 0.02000129409134388]","[0.003956467378884554, 0.017526667565107346, 0.03520591929554939]"
0,"[-0.0818011462688446, 0.021681254729628563, 0.010744576342403889]","[-0.06361821293830872, 0.009951535612344742, -0.02272491715848446]","[-0.029635833576321602, 0.015371596440672874, -0.021695073693990707]","[0.004126030020415783, 0.01836414262652397, -0.02646872214972973]","[0.03271005302667618, 0.015065259300172329, -0.01487635262310505]","[9.749940363690257e-05, -0.018243810161948204, -0.016440164297819138]","[0.028856083750724792, -0.027503661811351776, -0.022044667974114418]","[0.053366970270872116, -0.030560718849301338, -0.022259732708334923]","[0.07837419211864471, -0.035025615245103836, -0.03658636659383774]","[0.0020161892753094435, -0.005985664203763008, 0.001687001553364098]","[0.021215010434389114, 0.009729761630296707, -0.013423426076769829]","[0.006005133036524057, 0.022291744127869606, -0.015266717411577702]","[-0.00821593962609768, 0.017815178260207176, -0.005193688441067934]","[0.0018781546968966722, 0.012177755124866962, 0.011123267002403736]","[0.013655144721269608, 0.025625787675380707, -0.001204637112095952]","[-0.0019759039860218763, 0.03468378260731697, -0.0035395186860114336]","[-0.018339406698942184, 0.032948434352874756, 0.0057858657091856]","[-0.007994228042662144, 0.024725336581468582, 0.02153162844479084]","[0.0030307890847325325, 0.031382281333208084, 0.007197465281933546]","[-0.011675765737891197, 0.03914160281419754, -0.0012697487836703658]","[-0.024589726701378822, 0.0396992564201355, 0.0031086753588169813]"
0,"[0.0065256087109446526, 0.03690408170223236, 0.09457318484783173]","[-0.014563653618097305, 0.028731781989336014, 0.05878862366080284]","[-0.023755524307489395, 0.020699534565210342, 0.0365372933447361]","[-0.02715231664478779, 0.01720142550766468, 0.0010890939738601446]","[-0.01657612808048725, 0.011462327092885971, -0.028726939111948013]","[-0.01625026762485504, -0.00721714086830616, -0.0015176309971138835]","[-0.027577994391322136, -0.00012152176350355148, -0.02228432707488537]","[-0.028812408447265625, 0.0024359729140996933, -0.012031560763716698]","[-0.028706682845950127, 0.005859051831066608, -0.002850030083209276]","[-0.002495617140084505, -0.005080678965896368, -0.0006165360100567341]","[-0.0074667418375611305, 0.012293973937630653, -0.01952430233359337]","[-0.01662929356098175, 0.028356216847896576, 0.0004529677680693567]","[-0.010457867756485939, 0.01220841333270073, 0.033094994723796844]","[0.009258084930479527, 0.0010145376436412334, -0.00038496876368299127]","[-0.0012927092611789703, 0.03062097728252411, -0.011570078320801258]","[-0.00779899163171649, 0.03691517934203148, 0.009761880151927471]","[0.0006946800276637077, 0.027393706142902374, 0.041018564254045486]","[0.015990251675248146, 0.018329111859202385, 0.007874775677919388]","[0.008448829874396324, 0.0355997197329998, 0.0024747878778725863]","[-0.00046978238970041275, 0.0405416376888752, 0.01774296537041664]","[0.0013813255354762077, 0.037264373153448105, 0.04026346281170845]"
0,"[-0.030905304476618767, 0.08591607213020325, -0.005874446593225002]","[-0.03639509528875351, 0.056000448763370514, -0.027513407170772552]","[-0.01755031943321228, 0.03018375113606453, -0.03251645714044571]","[0.0016972970915958285, 0.004922621883451939, -0.035433728247880936]","[0.022313743829727173, -0.012902766466140747, -0.029990989714860916]","[-0.020063452422618866, -0.01674499362707138, -0.0075949192978441715]","[-0.0037087611854076385, -0.03955691307783127, -0.008730318397283554]","[0.011530086398124695, -0.058122418820858, -0.0055700065568089485]","[0.021221205592155457, -0.07800978422164917, -0.019702589139342308]","[-0.0038890596479177475, -0.007053236477077007, 0.004776834975928068]","[0.015367638319730759, -0.030523408204317093, -0.004908292554318905]","[0.021013185381889343, -0.046783674508333206, -0.01699242927134037]","[0.02803373709321022, -0.06650064885616302, -0.016657989472150803]","[0.013315216638147831, 0.008687174879014492, 0.006397825200110674]","[0.02322975918650627, 0.008929776959121227, -0.014676321297883987]","[0.012396151199936867, 0.02686154842376709, -0.019086619839072227]","[0.004662422463297844, 0.032308802008628845, -0.001506948727183044]","[0.019542180001735687, 0.029629340395331383, 0.005024710204452276]","[0.02598867006599903, 0.027036601677536964, -0.012382612563669682]","[0.013962947763502598, 0.038930464535951614, -0.021634424105286598]","[0.006399068981409073, 0.04186725616455078, -0.012086554430425167]"
0,"[-0.08729801326990128, -0.00991949811577797, -0.005982440430670977]","[-0.06400228291749954, -0.007572757080197334, -0.0286849457770586]","[-0.031847745180130005, 0.010064096190035343, -0.01863902620971203]","[-0.004234661348164082, 0.024713484570384026, -0.013892506249248981]","[0.01918048970401287, 0.029793918132781982, -0.0006493362016044557]","[0.006424455437809229, -0.011537543497979641, -0.007659969851374626]","[0.03534436225891113, -0.008512362837791443, -0.013636616989970207]","[0.06006934121251106, 0.0022265687584877014, -0.012882595881819725]","[0.08644919842481613, 0.01052052155137062, -0.026538632810115814]","[0.004395724274218082, -0.004283232614398003, 0.004649600945413113]","[0.014112086966633797, 0.01890597492456436, -0.008277383632957935]","[-0.005198844242841005, 0.023777849972248077, -0.013248833827674389]","[-0.019287947565317154, 0.01841818168759346, 0.0018787768203765154]","[-0.0019808204378932714, 0.007376236841082573, 0.005724417045712471]","[0.00044845882803201675, 0.025547407567501068, -0.00036137664574198425]","[-0.021567782387137413, 0.03206302225589752, -0.005757850129157305]","[-0.0343988761305809, 0.025057490915060043, 0.0005582456360571086]","[-0.016398340463638306, 0.01245478168129921, 0.009449483826756477]","[-0.011068279854953289, 0.024859588593244553, -7.817918958608061e-05]","[-0.026122717186808586, 0.03229541704058647, -0.005221553146839142]","[-0.03559593856334686, 0.028660515323281288, -0.007703281473368406]"
0,"[-0.04693621024489403, 0.0695730447769165, 0.013918994925916195]","[-0.05292797088623047, 0.03935838118195534, -0.006736736744642258]","[-0.029127242043614388, 0.019508669152855873, -0.011133858934044838]","[-0.0018921536393463612, -0.0005545111489482224, -0.02119828388094902]","[0.019205354154109955, -0.01003365870565176, -0.01570735312998295]","[-0.01633751392364502, -0.01742975041270256, -0.006896643433719873]","[-0.00010091811418533325, -0.04134094715118408, -0.006499697454273701]","[0.014739498496055603, -0.061099737882614136, -0.0034811818040907383]","[0.02669718489050865, -0.08155371993780136, -0.012017897330224514]","[-0.0014078364474698901, -0.006077082362025976, 0.00341324252076447]","[0.020970478653907776, -0.03454267978668213, -0.0022509382106363773]","[0.029338721185922623, -0.05552465468645096, -0.01283024437725544]","[0.04227663576602936, -0.0729348361492157, -0.01763048581779003]","[0.010313981212675571, 0.00963424053043127, 0.004084115847945213]","[0.022795092314481735, 0.0014024339616298676, -0.004238265100866556]","[0.007255181670188904, 0.011486857198178768, -0.005011179484426975]","[-0.00512830400839448, 0.020791251212358475, 0.009516492486000061]","[0.01163582131266594, 0.02917996048927307, 0.0086150411516428]","[0.018797218799591064, 0.01933189295232296, -0.0014982877764850855]","[0.007601682096719742, 0.023414287716150284, -0.0058441925793886185]","[0.00025097932666540146, 0.02927691675722599, 0.0034858370199799538]"
0,"[0.019431786611676216, 0.011471644975244999, 0.07618450373411179]","[-0.007353487424552441, 0.015034593641757965, 0.061436671763658524]","[-0.018471792340278625, 0.013268150389194489, 0.04652290791273117]","[-0.025333384051918983, 0.02656858041882515, 0.02239440195262432]","[-0.027814187109470367, 0.034762270748615265, -0.0036634912248700857]","[-0.012811279855668545, -0.004764983430504799, 0.006220625713467598]","[-0.030285803601145744, 0.0009595025330781937, -0.004580273292958736]","[-0.045968715101480484, 0.0026143777649849653, -1.4463081242865883e-05]","[-0.060385167598724365, 0.007859619334340096, -1.0264877346344292e-05]","[-0.002595112193375826, -0.0035790482070297003, -0.0012995218858122826]","[-0.018927568569779396, 0.007632175460457802, -0.004619869869202375]","[-0.022151924669742584, 0.018856951966881752, 0.019160930067300797]","[-0.011820249259471893, 0.003204196458682418, 0.04764840379357338]","[0.007906652055680752, 0.0018840227276086807, -0.0053322757594287395]","[-0.009157142601907253, 0.0199004877358675, -0.0035864319652318954]","[-0.010550973005592823, 0.02505294606089592, 0.019714727997779846]","[-0.00013027910608798265, 0.020112663507461548, 0.04524952545762062]","[0.016601305454969406, 0.015783138573169708, 0.0038259520661085844]","[0.0009341440163552761, 0.027100708335638046, 0.00490092858672142]","[-0.003851955756545067, 0.02310406044125557, 0.019176587462425232]","[0.0007941783405840397, 0.020626844838261604, 0.03511740267276764]"
0,"[-0.015521062538027763, 0.0765942633152008, 0.045257121324539185]","[-0.03376951813697815, 0.04883195087313652, 0.03122859261929989]","[-0.033008527010679245, 0.02111523225903511, 0.022735843434929848]","[-0.027479469776153564, -0.0014277352020144463, -0.0016992943128570914]","[-0.015558965504169464, -0.015473490580916405, -0.021636242046952248]","[-0.01906866766512394, -0.013444572687149048, 0.009102962911128998]","[-0.01873737946152687, -0.02804696187376976, -0.007588326930999756]","[-0.016317076981067657, -0.04298141226172447, -0.01378518994897604]","[-0.022626085206866264, -0.05463199317455292, -0.030122634023427963]","[-0.0007909232517704368, -0.005500379018485546, 0.00319093931466341]","[-0.011545460671186447, -0.00625130720436573, -0.019225573167204857]","[-0.02555776573717594, 0.01344773918390274, -0.017574891448020935]","[-0.02091275528073311, 0.022234342992305756, -0.0009866900509223342]","[0.0104067362844944, 0.004705928731709719, -0.0058629633858799934]","[-0.004049927927553654, 0.015041492879390717, -0.023724935948848724]","[-0.014787468127906322, 0.030409378930926323, -0.016753366217017174]","[-0.01008914690464735, 0.03782346472144127, 0.0037887776270508766]","[0.012562185525894165, 0.026929732412099838, -0.011604961939156055]","[0.0025474634021520615, 0.03241957724094391, -0.021016227081418037]","[-0.009142998605966568, 0.03692515194416046, -0.013548643328249454]","[-0.0018932316452264786, 0.038229625672101974, -0.002058966550976038]"
0,"[-0.09452271461486816, 0.0165184885263443, 0.0022897901944816113]","[-0.07125173509120941, 0.011709185317158699, -0.01966889761388302]","[-0.034014977514743805, 0.02435384877026081, -0.00852486677467823]","[0.0009226449765264988, 0.03146988898515701, 0.0005416635540314019]","[0.023001352325081825, 0.030655551701784134, 0.011257044039666653]","[0.006303480826318264, -0.009586184285581112, -0.00785762071609497]","[0.03605785593390465, -0.015234535560011864, -0.01409560814499855]","[0.061909936368465424, -0.015567281283438206, -0.013755609281361103]","[0.09067898243665695, -0.01834605634212494, -0.0276626069098711]","[0.003701351583003998, -0.005055735819041729, 0.004207609221339226]","[0.0193488746881485, 0.012552551925182343, -0.007137767039239407]","[-0.003462292021140456, 0.020007159560918808, -0.006632082164287567]","[-0.016507253050804138, 0.01162746362388134, 0.00545134861022234]","[-0.001365141593851149, 0.005127461161464453, 0.005311243701726198]","[0.007533365860581398, 0.023185377940535545, 0.002426824765279889]","[-0.011991829611361027, 0.03300713002681732, -0.001526059815660119]","[-0.02739693783223629, 0.027160223573446274, 0.004937079735100269]","[-0.017365913838148117, 0.011222777888178825, 0.012314271181821823]","[-0.008585862815380096, 0.022217288613319397, 0.0015882295556366444]","[-0.01830231212079525, 0.0315670445561409, -0.008354315534234047]","[-0.03073165751993656, 0.0292825847864151, -0.01407573651522398]"
0,"[0.007353460416197777, 0.0907868891954422, 0.03148513287305832]","[-0.01739896461367607, 0.06406158208847046, 0.023262174800038338]","[-0.028826329857110977, 0.03609074652194977, 0.014654982835054398]","[-0.033656612038612366, 0.004564360715448856, -0.006938384845852852]","[-0.028326645493507385, -0.019372543320059776, -0.020777035504579544]","[-0.024875342845916748, -0.006634248420596123, 0.013756511732935905]","[-0.032989371567964554, -0.03478529304265976, 0.002279876032844186]","[-0.04119989275932312, -0.05598876252770424, -0.0063101076520979404]","[-0.04992862790822983, -0.07365603744983673, -0.02406066469848156]","[-0.004066197667270899, -0.005880266893655062, 0.004827603232115507]","[-0.011655500158667564, -0.013678120449185371, -0.021126803010702133]","[-0.0210109930485487, 0.010145382024347782, -0.026519499719142914]","[-0.012957744300365448, 0.027196276932954788, -0.013984025456011295]","[0.015641678124666214, 0.004763845354318619, -0.007237503305077553]","[-0.003532316768541932, 0.011701595969498158, -0.02860414795577526]","[-0.007190600503236055, 0.03377114608883858, -0.02294566109776497]","[0.004229535348713398, 0.04280030354857445, -0.006610133685171604]","[0.02503613755106926, 0.02255980297923088, -0.02002606727182865]","[0.008852457627654076, 0.029536286368966103, -0.03284883126616478]","[0.002573731355369091, 0.04602080583572388, -0.02727598138153553]","[0.013339973986148834, 0.04934060946106911, -0.016288110986351967]"
